Store_Id,Item,Product,Date,Order_Quantity,Projected_Stock,Stock_Status,Order_Reason
104.0,7218063247.0,RED BARON FH SUPREME,2025-07-09,3,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063247.0,RED BARON FH SUPREME,2025-07-16,3,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063247.0,RED BARON FH SUPREME,2025-07-23,3,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063247.0,RED BARON FH SUPREME,2025-07-30,3,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063247.0,RED BARON FH SUPREME,2025-08-06,3,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063429.0,RED BARON 4 CHEESE PIZZA,2025-07-09,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063429.0,RED BARON 4 CHEESE PIZZA,2025-07-16,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063429.0,RED BARON 4 CHEESE PIZZA,2025-07-23,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063429.0,RED BARON 4 CHEESE PIZZA,2025-07-30,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063429.0,RED BARON 4 CHEESE PIZZA,2025-08-06,20,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063469.0,RED BARON DELUXE PIZZA,2025-07-09,9,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063469.0,RED BARON DELUXE PIZZA,2025-07-16,9,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063469.0,RED BARON DELUXE PIZZA,2025-07-23,9,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063469.0,RED BARON DELUXE PIZZA,2025-07-30,9,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063469.0,RED BARON DELUXE PIZZA,2025-08-06,9,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063471.0,RED BARON SUPREME PIZZA,2025-07-09,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063471.0,RED BARON SUPREME PIZZA,2025-07-16,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063471.0,RED BARON SUPREME PIZZA,2025-07-23,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063471.0,RED BARON SUPREME PIZZA,2025-07-30,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063471.0,RED BARON SUPREME PIZZA,2025-08-06,7,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063473.0,RED BARON PEPPERONI PIZZA,2025-07-09,27,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063473.0,RED BARON PEPPERONI PIZZA,2025-07-16,27,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063473.0,RED BARON PEPPERONI PIZZA,2025-07-23,27,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063473.0,RED BARON PEPPERONI PIZZA,2025-07-30,27,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063473.0,RED BARON PEPPERONI PIZZA,2025-08-06,27,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063717.0,TONYS PS PEPPERONI,2025-07-09,21,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063717.0,TONYS PS PEPPERONI,2025-07-16,21,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063717.0,TONYS PS PEPPERONI,2025-07-23,21,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063717.0,TONYS PS PEPPERONI,2025-07-30,21,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063717.0,TONYS PS PEPPERONI,2025-08-06,21,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063718.0,TONYS PS CHEESE,2025-07-09,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063718.0,TONYS PS CHEESE,2025-07-16,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
104.0,7218063718.0,TONYS PS CHEESE,2025-07-23,17,0,Low,Low stock (0.0 weeks). Ordering to reach target of 1 weeks.
