Date,Store_Id,Item,Product,Day_Of_Week,Month,Price,Weather,Promotion,Stock_Level,Forecast,Std_Dev,Lower_Bound,Upper_Bound,Forecast_Generated,Days_In_Future
2025-07-16,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,2,7,7.99,Normal,0,0,1.9919242,0.2788693833351136,1.4453401753425599,2.5385081580162048,2025-08-06 14:12:21.773228,8
2025-07-17,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,3,7,7.99,Normal,0,0,1.9860007,0.2879700952768326,1.421579270339012,2.550422043824196,2025-08-06 14:12:21.773228,9
2025-07-18,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,4,7,7.99,Normal,0,0,1.9838442,0.2975766241550446,1.400593977689743,2.5670943443775176,2025-08-06 14:12:21.773228,10
2025-07-19,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,5,7,7.99,Normal,0,0,1.9857997,0.3077989488840103,1.3825137304067612,2.5890856100320816,2025-08-06 14:12:21.773228,11
2025-07-20,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,6,7,7.99,Normal,0,0,1.9916543,0.3186646842956543,1.367071495628357,2.6162370580673215,2025-08-06 14:12:21.773228,12
2025-07-21,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,0,7,7.99,Normal,0,0,1.9952484,0.3292159920930863,1.3499850924253463,2.6405117814302446,2025-08-06 14:12:21.773228,13
2025-07-22,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,1,7,7.99,Normal,0,0,1.9958227,0.33928985357284547,1.3308145550727843,2.6608307810783387,2025-08-06 14:12:21.773228,14
2025-07-23,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,2,7,7.99,Normal,0,0,1.9913945,0.3484940409660339,1.3083461995124819,2.6744428400993345,2025-08-06 14:12:21.773228,15
2025-07-24,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,3,7,7.99,Normal,0,0,1.9835733,0.35704319715499877,1.2837686511039734,2.6833779839515683,2025-08-06 14:12:21.773228,16
2025-07-25,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,4,7,7.99,Normal,0,0,1.984113,0.36706090092658994,1.2646736121654512,2.703552343797684,2025-08-06 14:12:21.773228,17
2025-07-26,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,5,7,7.99,Normal,0,0,1.9867017,0.37747332811355594,1.2468540038108826,2.7265494500160217,2025-08-06 14:12:21.773228,18
2025-07-27,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,6,7,7.99,Normal,0,0,1.9910824,0.38826107382774355,1.230090725183487,2.7520741345882413,2025-08-06 14:12:21.773228,19
2025-07-28,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,0,7,7.99,Normal,0,0,1.9956281,0.399125623703003,1.2133418960571287,2.7779143409729006,2025-08-06 14:12:21.773228,20
2025-07-29,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,1,7,7.99,Normal,0,0,1.9946299,0.4088991212844849,1.193187582206726,2.796072137641907,2025-08-06 14:12:21.773228,21
2025-07-30,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,2,7,7.99,Normal,0,0,1.9937506,0.4186876201629639,1.1731228366851805,2.814378307723999,2025-08-06 14:12:21.773228,22
2025-07-31,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,3,7,7.99,Normal,0,0,1.988134,0.4274488157033921,1.1503343477487564,2.825933705306053,2025-08-06 14:12:21.773228,23
2025-08-01,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,4,8,7.99,Normal,0,0,1.9860649,0.4369342803955078,1.1296737213134767,2.842456100463867,2025-08-06 14:12:21.773228,24
2025-08-02,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,5,8,7.99,Normal,0,0,1.9896562,0.4476726472377777,1.1122178213596343,2.867094598531723,2025-08-06 14:12:21.773228,25
2025-08-03,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,6,8,7.99,Normal,0,0,1.9954225,0.4589471709728241,1.0958860273838043,2.894958937597275,2025-08-06 14:12:21.773228,26
2025-08-04,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,0,8,7.99,Normal,0,0,1.9987425,0.4697044783830643,1.0781216835737228,2.9193632388353348,2025-08-06 14:12:21.773228,27
2025-08-05,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,1,8,7.99,Normal,0,0,2.0000112,0.4800026893615723,1.059205934524536,2.9408164768218996,2025-08-06 14:12:21.773228,28
2025-08-06,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,2,8,7.99,Normal,0,0,1.9969087,0.48924262285232545,1.0379931239128113,2.955824205493927,2025-08-06 14:12:21.773228,29
2025-08-07,104.0,3913116852.0,BELLATORIA ULT PEPPERONI PIZZA,3,8,7.99,Normal,0,0,1.9921484,0.49803709983825684,1.015995683670044,2.968301115036011,2025-08-06 14:12:21.773228,30
2025-07-09,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,2,7,7.99,Normal,0,0,1.8549888,0.19477382540702823,1.4732321156024932,2.236745511198044,2025-08-06 14:12:21.773228,1
2025-07-10,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,3,7,7.99,Normal,0,0,1.8560565,0.2041662096977234,1.4558906807899474,2.256222222805023,2025-08-06 14:12:21.773228,2
2025-07-11,104.0,3913116853.0,BELLATORIA ULT SUPREME PIZZA,4,7,7.99,Normal,0,0,1.8695041,0.21499297082424165,1.4481178713083267,2.290890316939354,2025-08-06 14:12:21.773228,3
