Date,Store_Id,Item,Forecast,Product,Size,Forecast_Generated,Days_In_Future,Std_Dev,Lower_Bound,Upper_Bound
2025-07-17,104.0,3913116852.0,0.4765176427679941,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,9,0.06909505820135915,0.34109132869333014,0.611943956842658
2025-07-18,104.0,3913116852.0,0.4205505711572069,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,10,0.06308258567358105,0.29690870323698804,0.5441924390774258
2025-07-19,104.0,3913116852.0,0.43908919484358955,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,11,0.06805882520075637,0.30569389745010705,0.572484492237072
2025-07-20,104.0,3913116852.0,0.5699901239736836,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,12,0.09119841983578938,0.3912412210955365,0.7487390268518308
2025-07-21,104.0,3913116852.0,0.38328626366205476,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,13,0.06324223350423903,0.2593314859937462,0.5072410413303633
2025-07-22,104.0,3913116852.0,0.3474296336480035,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,14,0.0590630377201606,0.23166607971648873,0.4631931875795183
2025-07-23,104.0,3913116852.0,0.45994059106032154,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,15,0.08048960343555626,0.30218096832663127,0.6177002137940117
2025-07-24,104.0,3913116852.0,0.48570668637972636,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,16,0.08742720354835073,0.3143493674249589,0.6570640053344938
2025-07-25,104.0,3913116852.0,0.4402042435041808,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,17,0.08143778504827345,0.2805861848095649,0.5998223021987967
2025-07-26,104.0,3913116852.0,0.5652916806842438,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,18,0.10740541933000633,0.35477705879743143,0.7758063025710562
2025-07-27,104.0,3913116852.0,0.6595848616248337,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,19,0.12861904801684257,0.4074915275118222,0.911678195737845
2025-07-28,104.0,3913116852.0,0.44329293455824065,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,20,0.08865858691164813,0.2695221042114103,0.617063764905071
2025-07-29,104.0,3913116852.0,0.33798569956579416,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,21,0.0692870684109878,0.20218304548025806,0.47378835365133026
2025-07-30,104.0,3913116852.0,0.4034462426849686,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,22,0.08472371096384342,0.2373877691958355,0.5695047161741017
2025-07-31,104.0,3913116852.0,0.4971812070127282,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,23,0.10689395950773659,0.2876690463775645,0.7066933676478919
2025-08-01,104.0,3913116852.0,0.5445224348251602,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,24,0.11979493566153523,0.3097243609285511,0.7793205087217692
2025-08-02,104.0,3913116852.0,0.5143667212706394,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,25,0.11573251228589387,0.2875309971902874,0.7412024453509914
2025-08-03,104.0,3913116852.0,0.6387938210388086,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,26,0.14692257883892598,0.35082556651451363,0.9267620755631034
2025-08-04,104.0,3913116852.0,0.4510653805066248,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,27,0.10600036441905684,0.24330466624527342,0.6588260947679763
2025-08-05,104.0,3913116852.0,0.41918390511379916,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,28,0.1006041372273118,0.22199979614826804,0.6163680140793303
2025-08-06,104.0,3913116852.0,0.38740637646338805,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,29,0.09491456223353006,0.20137383448566912,0.573438918441107
2025-08-07,104.0,3913116852.0,0.47438416965566554,BELLATORIA ULT PEPPERONI PIZZA,17.31 OZ,2025-08-02 22:53:01.860201,30,0.11859604241391639,0.24193592652438944,0.7068324127869416
2025-07-09,104.0,3913116853.0,0.3373949905800392,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,1,0.03542647401090412,0.2679591015186671,0.4068308796414113
2025-07-10,104.0,3913116853.0,0.3908361085871906,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,2,0.042991971944590965,0.3065718435757923,0.47510037359858887
2025-07-11,104.0,3913116853.0,0.38535890469435263,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,3,0.044316274039850556,0.29849900757624553,0.47221880181245973
2025-07-12,104.0,3913116853.0,0.3441314627988714,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,4,0.041295775535864575,0.2631917427485768,0.425071182849166
2025-07-13,104.0,3913116853.0,0.329194310118053,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,5,0.041149288764756625,0.24854170413913002,0.409846916096976
2025-07-14,104.0,3913116853.0,0.36289847953873094,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,6,0.047176802340035025,0.2704319469522623,0.4553650121251996
2025-07-15,104.0,3913116853.0,0.36507476982128395,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,7,0.04928509392587334,0.2684759857265722,0.4616735539159957
2025-07-16,104.0,3913116853.0,0.3544723729524081,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,8,0.049626132213337136,0.2572051538142673,0.45173959209054887
2025-07-17,104.0,3913116853.0,0.4146655476987139,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,9,0.06012650441631352,0.2968175990427394,0.5325134963546884
2025-07-18,104.0,3913116853.0,0.310297699076802,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,10,0.046544654861520304,0.2190701755482222,0.4015252226053818
2025-07-19,104.0,3913116853.0,0.39368303449985653,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,11,0.06102087034747776,0.2740821286188001,0.513283940380913
2025-07-20,104.0,3913116853.0,0.38074138458590173,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,12,0.06091862153374428,0.26134088637976294,0.5001418827920405
2025-07-21,104.0,3913116853.0,0.29658039355331045,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,13,0.04893576493629623,0.20066629427816984,0.39249449282845106
2025-07-22,104.0,3913116853.0,0.29833629977207404,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,14,0.05071717096125259,0.19893064468801896,0.3977419548561291
2025-07-23,104.0,3913116853.0,0.3674089008906784,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,15,0.06429655765586871,0.24138764788517572,0.49343015389618106
2025-07-24,104.0,3913116853.0,0.40218781292901534,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,16,0.07239380632722275,0.26029595252765875,0.5440796733303719
2025-07-25,104.0,3913116853.0,0.3785571113772259,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,17,0.0700330656047868,0.2412923027918438,0.5158219199626081
2025-07-26,104.0,3913116853.0,0.3785086164409883,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,18,0.07191663712378778,0.2375520076783643,0.5194652252036124
2025-07-27,104.0,3913116853.0,0.4353203528437442,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,19,0.08488746880453012,0.26894091398686515,0.6016997917006233
2025-07-28,104.0,3913116853.0,0.33407584603711427,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,20,0.06681516920742285,0.20311811439056549,0.46503357768366305
2025-07-29,104.0,3913116853.0,0.32389479635156077,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,21,0.06639843325206997,0.19375386717750362,0.4540357255256179
2025-07-30,104.0,3913116853.0,0.3169401116678999,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,22,0.06655742345025899,0.18648756170539232,0.44739266163040753
2025-07-31,104.0,3913116853.0,0.41043326741056774,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,23,0.08824315249327207,0.23747668852375448,0.583389846297381
2025-08-01,104.0,3913116853.0,0.3679112025324825,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,24,0.08094046455714615,0.20926789200047605,0.526554513064489
2025-08-02,104.0,3913116853.0,0.41376402327008666,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,25,0.0930969052357695,0.23129408900797846,0.5962339575321949
2025-08-03,104.0,3913116853.0,0.39226989956985664,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,26,0.09022207690106702,0.21543462884376527,0.569105170295948
2025-08-04,104.0,3913116853.0,0.37178733578808054,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,27,0.08737002391019894,0.20054208892409064,0.5430325826520704
2025-08-05,104.0,3913116853.0,0.32721029843702215,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,28,0.07853047162488533,0.1732905740522469,0.4811300228217974
2025-08-06,104.0,3913116853.0,0.34891507492279017,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,29,0.0854841933560836,0.18136605594486632,0.516464093900714
2025-08-07,104.0,3913116853.0,0.39297633696437057,BELLATORIA ULT SUPREME PIZZA,21.71 OZ,2025-08-02 22:53:01.860201,30,0.09824408424109264,0.200417931851829,0.5855347420769121
2025-07-09,104.0,3913116856.0,0.773460333997052,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,1,0.08121333506969047,0.6142821972604587,0.9326384707336454
2025-07-10,104.0,3913116856.0,0.6827845540818067,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,2,0.07510630094899874,0.5355762042217692,0.8299929039418442
2025-07-11,104.0,3913116856.0,0.5958467616652161,BELLATORIA GAR CHKN ALFR PIZZA,16.03 OZ,2025-08-02 22:53:01.860201,3,0.06852237759149986,0.4615429015858764,0.7301506217445558
